Vetorial,LPT,P1,IC,LP1,Cálculo2,Discreta,P2,Grafos,Fís.Clássica,LP2,Cálculo1,cra
6.4,8.7,8.1,8.9,8.8,5.2,7.1,9,6.1,5,8.2,8.7,7.442528735632184
7.8,9.2,7,8.8,9.3,5.7,6.1,8.1,6.8,7,8.8,7.2,7.501176470588236
5.5,8.2,7.1,8.9,7.8,5.3,5.2,7.1,7,7.8,8.3,6.8,6.000934579439252
8,9.3,8,7.5,7.3,5.5,6.2,9.1,7.2,7,9.2,8.1,7.761176470588236
9.2,8.5,7.3,8.6,8.5,7,7.4,7.8,6.8,7,8.5,7.5,7.684705882352942
6.5,9.1,9.5,7.9,9.7,7,6.2,8.4,6,7,9.2,7.1,6.763636363636364
7.2,7,8.3,7,8.5,7,6.8,9,5.7,8.1,8.7,7.3,6.929166666666667
7,8,7,8.6,7,5.3,5.9,7.2,7.7,5.1,8.1,7,7.86987951807229
7.2,9.3,7.8,8.2,7.2,6.4,5.5,8,7.8,7,9.2,5.8,7.720689655172414
6.6,6.2,5,8,7.5,6,6,7.1,6.3,7,7.9,5.1,7.267469879518073
6.4,6.2,5.4,6.7,7.1,5.1,6.6,6.4,5.5,5,5.6,8.2,7.250574712643678
9.1,7.6,10,10,10,8.5,9.2,9.2,10,8.5,8.7,9.8,8.850588235294117
6.8,7.5,8.1,7.2,8,8.6,5.6,8.3,7.2,7.3,9,6.2,6.415841584158416
9.1,8.2,8.1,9.9,8.6,8.3,8.1,8.9,7.6,9.1,9.1,8.7,8.802352941176471
6.2,10,5,7.8,5.8,8,6,5.5,5.1,7,5.8,6.2,5.758878504672897
9.7,7.3,9.1,9.8,8.8,8,7.6,9,8.9,7.5,9.1,7.8,7.669230769230769
5.7,7.7,5.4,7.5,5.8,7.5,5.4,7,5.3,7,8.9,5.2,5.581651376146789
8.9,9.3,7.4,8.3,7,5.1,5.4,7.9,7.4,7,9.4,6.7,7.207865168539326
8.3,7.6,7.4,9,7.8,5.8,6,7.9,6.3,7.4,7.9,5.3,6.905263157894737
7,8.3,7.8,8.1,7.8,9.3,7.4,8.2,7.6,6.5,9.7,7.2,6.931958762886597
10,8,6,7.1,6.2,7,5.6,6.3,7.2,7.3,8.5,9.5,7.4011764705882355
7.9,7,6.6,8.6,6.7,5.2,7.6,7.8,7.1,7,7,5.6,6.995505617977528
8,10,5.1,7,5.5,7.3,5.2,8.3,7.4,5.8,8.9,7.1,6.986206896551724
7.1,7.8,5,8.2,5,8.2,7,7.8,8.2,7,8.9,8,7.102247191011236
5,7.2,7.8,7.4,8.1,5.3,7,6.7,5.9,7.1,7.5,5,7.282022471910112
9.2,8,8.9,9.8,9.8,8.1,8,9.3,9.8,8.2,9.1,9.5,8.924705882352942
7,8.6,7.4,8.3,5.9,5,5.3,7.6,7.2,8.3,9,6.1,7.3
